name;score; volume ;coins;markets;liquidity;type
LATOKEN;3.30; 8,517,918 ;146;256;107;central
HBTC;3.30; 9,949,715,042 ;111;161;213;central
C2CX;3.30; 43,364,111 ;18;37;111;central
Bitribe;3.30; 6,701,338,384 ;35;57;139;central
Bithumb Singapore;3.30; 83,025 ;5;5;6;central
Waves Exchange;3.30; 9,964,905 ;14;45;63;central
BitZ;3.30; 8,601,557,136 ;98;189;137;central
qTrade;3.30; 678,884 ;21;20;15;central
Braziliex;3.30; 738,604 ;18;27;12;central
COSS;3.30; 10,301,875 ;14;14;12;central
digitalexchange.id;3.20; 389,247 ;26;26;18;central
Mercatox;3.20; 27,340,111 ;238;417;16;central
BTC-exchange;3.20; 45,801 ;6;5;23;central
BTC Trade UA;3.20; 606,011 ;14;14;13;central
Mexo Exchange;3.20; 8,485,511,649 ;30;47;194;central
Changelly PRO;3.20; 4,280,880,150 ;29;83;239;central
SouthXchange;3.20; 195,728 ;88;163;30;central
VINEX Network;3.20; 771,629 ;31;53;10;central
Paymium;3.20; 988,342 ;2;1;6;central
CoinHe;3.20; 41,216,045 ;15;24;109;central
CoinFalcon;3.20; 232,874 ;12;15;23;central
DragonEX;3.20; 634,946,319 ;106;114;97;central
ATAIX;3.20; 33,466,571 ;14;29;62;central
Triv Pro;3.10; 79,655,482 ;12;11;168;central
Omgfin;3.10; 1,066,261,122 ;47;145;461;central
Bidesk;3.10; 8,399,813,155 ;40;70;180;central
NAGAX;3.10; 114,751 ;9;19;48;central
iCE3;3.10; 463,719 ;3;2;7;central
BiONE;3.10; 2,490,977,812 ;125;199;147;central
BITEXBOOK;3.10; 113,586 ;22;71;24;central
Tokenomy;3.00; 745,238 ;25;29;4;central
Graviex;3.00; 151,152 ;126;201;10;central
Sistemkoin;3.00; 940,295,022 ;136;186;34;central
LakeBTC;3.00; 14 ;12;12;51;central
Tidex;2.90; 4,644,365 ;20;30;21;central
ZG.com;2.90; 8,217,420,412 ;36;48;80;central
Coingi;2.90; 8,921 ;4;4;13;central
BitClude;2.90; 93,121 ;4;3;10;central
Chiliz;2.80; 22,834,959 ;15;14;21;central
BitAsset;2.80; 1,835,590,824 ;66;124;123;central
StakeCube;2.80; 42,066 ;25;48;9;central
CITEX;2.80; 7,329,540,055 ;80;152;49;central
CRXzone;2.80; 27,526 ;4;4;21;central
SatoExchange;2.70; 128,895 ;30;54;2;central
Bitsdaq;2.70; 62,820,628 ;35;61;146;central
Polyx;2.70; 3,238,769 ;9;17;3;central
Artis Turba;2.60; 39,897 ;11;29;4;central
ABCC;2.60; 12,845,333 ;5;4;12;central
HCoin;2.60; 481,725,713 ;12;11;110;central
Txbit;2.60; 36,016 ;31;37;3;central
CoinsBank;2.60; 267,511,364 ;5;6;31;central
WBF Exchange;2.60; 8,720,875,669 ;54;82;53;central
RuDEX;2.60; 10,963 ;10;21;11;central
Simex;2.60; 13,116,494 ;15;27;7;central
Namebase;2.60; 3,314 ;2;1;3;central
EXX;2.50; 1,261,148,611 ;35;55;30;central
Ecxx;2.50; 2,434,132,496 ;8;18;144;central
BiKi;2.50; 1,104,465,723 ;83;185;55;central
Bgogo;2.40; 5,537,718 ;19;32;3;central
AidosMarket;2.40; 6,862 ;2;1;5;central
C-Patex;2.40; 10,793 ;25;32;2;central
Xcalibra;2.40; 3,414 ;5;8;6;central
RightBTC;2.30; 6,357,606,494 ;26;58;79;central
Bleutrade;2.20; 26,411 ;7;9;6;central
FreiExchange;2.20; 51,459 ;35;35;7;central
BITStorage;2.20; 5,080,212 ;16;23;10;central
SecondBTC;2.10; 8,625 ;5;5;40;central
BitRabbit;2.10; 26,092 ;26;36;1;central
LocalTrade;2.00; 364,555,123 ;16;35;55;central
Lukki Exchange;2.00; 19,596,745 ;15;25;1;central
FT Exchange;2.00; 60 ;4;3;123;central
LOEx;1.90; 446,067,771 ;23;23;2;central
Kryptono;1.90; 56,243,956 ;19;35;3;central
Exnomy;1.80; 466,003 ;13;15;1;central
OTCBTC;1.60; 713 ;2;1;1;central
Hubi;0.10; 831,727 ;14;30;N/A;central
Bittylicious;; 304,563 ;21;33;N/A;central
Bitonic;; 4,874,462 ;2;1;N/A;central
LiteBit.eu;; 19,834,704 ;53;54;N/A;central
CoinCorner;; 599,864 ;3;2;N/A;central
ISX;; 193 ;2;2;3;central
Cryptomate;; 2,197 ;22;22;N/A;central
Heat Wallet;; 13 ;2;1;N/A;central
RippleFox;; 412,064 ;6;7;N/A;central
Gatehub;; 633,916 ;5;4;N/A;central
Ripple China;; 1,693 ;2;1;N/A;central
Buda;; 6,752,169 ;8;12;N/A;central
Altcoin Trader;; 8,103,386 ;24;23;N/A;central
Bitstamp (Ripple Gateway);; 192,567 ;3;2;49;central
Bits Blockchain;; 7,854,878 ;4;3;N/A;central
Tidebit;; 3,101,143 ;8;8;N/A;central
InfinityCoin Exchange;; 373 ;2;1;N/A;central
TOPBTC;; 664,166,907 ;36;41;N/A;central
Vebitcoin;; 63,783,042 ;19;20;N/A;central
Bithesap;; 15,321,611 ;3;2;N/A;central
IDCM;; 1,554,573,470 ;22;80;N/A;central
Cashierest;; 9,544,627 ;28;31;N/A;central
CryptalDash;; -   ;10;17;N/A;central
YunEx;; 24,615,773 ;21;26;N/A;central
