name; score ;volume;coins;markets;liquidity;type
qTrade; 3.30 ;678884;21;20;15;central
Braziliex; 3.30 ;738604;18;27;12;central
COSS; 3.30 ;10301875;14;14;12;central
digitalexchange.id; 3.20 ;389247;26;26;18;central
Mercatox; 3.20 ;27340111;238;417;16;central
BTC-exchange; 3.20 ;45801;6;5;23;central
BTC Trade UA; 3.20 ;606011;14;14;13;central
Mexo Exchange; 3.20 ;8485511649;30;47;194;central
Changelly PRO; 3.20 ;4280880150;29;83;239;central
SouthXchange; 3.20 ;195728;88;163;30;central
VINEX Network; 3.20 ;771629;31;53;10;central
Paymium; 3.20 ;988342;2;1;6;central
CoinHe; 3.20 ;41216045;15;24;109;central
CoinFalcon; 3.20 ;232874;12;15;23;central
DragonEX; 3.20 ;634946319;106;114;97;central
ATAIX; 3.20 ;33466571;14;29;62;central
Triv Pro; 3.10 ;79655482;12;11;168;central
Omgfin; 3.10 ;1066261122;47;145;461;central
Bidesk; 3.10 ;8399813155;40;70;180;central
NAGAX; 3.10 ;114751;9;19;48;central
iCE3; 3.10 ;463719;3;2;7;central
BiONE; 3.10 ;2490977812;125;199;147;central
BITEXBOOK; 3.10 ;113586;22;71;24;central
Tokenomy; 3.00 ;745238;25;29;4;central
Graviex; 3.00 ;151152;126;201;10;central
Sistemkoin; 3.00 ;940295022;136;186;34;central
LakeBTC; 3.00 ;14;12;12;51;central
Tidex; 2.90 ;4644365;20;30;21;central
ZG.com; 2.90 ;8217420412;36;48;80;central
Coingi; 2.90 ;8921;4;4;13;central
BitClude; 2.90 ;93121;4;3;10;central
Chiliz; 2.80 ;22834959;15;14;21;central
BitAsset; 2.80 ;1835590824;66;124;123;central
StakeCube; 2.80 ;42066;25;48;9;central
CITEX; 2.80 ;7329540055;80;152;49;central
CRXzone; 2.80 ;27526;4;4;21;central
SatoExchange; 2.70 ;128895;30;54;2;central
Bitsdaq; 2.70 ;62820628;35;61;146;central
Polyx; 2.70 ;3238769;9;17;3;central
Artis Turba; 2.60 ;39897;11;29;4;central
ABCC; 2.60 ;12845333;5;4;12;central
HCoin; 2.60 ;481725713;12;11;110;central
Txbit; 2.60 ;36016;31;37;3;central
CoinsBank; 2.60 ;267511364;5;6;31;central
WBF Exchange; 2.60 ;8720875669;54;82;53;central
RuDEX; 2.60 ;10963;10;21;11;central
Simex; 2.60 ;13116494;15;27;7;central
Namebase; 2.60 ;3314;2;1;3;central
EXX; 2.50 ;1261148611;35;55;30;central
Ecxx; 2.50 ;2434132496;8;18;144;central
BiKi; 2.50 ;1104465723;83;185;55;central
Bgogo; 2.40 ;5537718;19;32;3;central
AidosMarket; 2.40 ;6862;2;1;5;central
C-Patex; 2.40 ;10793;25;32;2;central
Xcalibra; 2.40 ;3414;5;8;6;central
RightBTC; 2.30 ;6357606494;26;58;79;central
Bleutrade; 2.20 ;26411;7;9;6;central
FreiExchange; 2.20 ;51459;35;35;7;central
BITStorage; 2.20 ;5080212;16;23;10;central
SecondBTC; 2.10 ;8625;5;5;40;central
BitRabbit; 2.10 ;26092;26;36;1;central
LocalTrade; 2.00 ;364555123;16;35;55;central
Lukki Exchange; 2.00 ;19596745;15;25;1;central
FT Exchange; 2.00 ;60;4;3;123;central
LOEx; 1.90 ;446067771;23;23;2;central
Kryptono; 1.90 ;56243956;19;35;3;central
Exnomy; 1.80 ;466003;13;15;1;central
OTCBTC; 1.60 ;713;2;1;1;central
Hubi; 0.10 ;831727;14;30;N/A;central
Bittylicious;;304563;21;33;N/A;central
Bitonic;;4874462;2;1;N/A;central
LiteBit.eu;;19834704;53;54;N/A;central
CoinCorner;;599864;3;2;N/A;central
ISX;;193;2;2;3;central
Cryptomate;;2197;22;22;N/A;central
Heat Wallet;;13;2;1;N/A;central
RippleFox;;412064;6;7;N/A;central
Gatehub;;633916;5;4;N/A;central
Ripple China;;1693;2;1;N/A;central
Buda;;6752169;8;12;N/A;central
Altcoin Trader;;8103386;24;23;N/A;central
